净值日期,单位净值
1374076800000,1.0
1374163200000,1.001
1374422400000,1.006
1374595200000,2.687
1374768000000,2.665
1375027200000,2.643
1375113600000,2.641
1375200000000,2.657
1375286400000,2.644
1375372800000,2.583
1375632000000,2.635
1375718400000,2.599
1375804800000,2.571
1375891200000,2.59
1375977600000,2.622
1376236800000,2.667
1376323200000,2.679
1376409600000,2.647
1376496000000,2.671
1376582400000,2.718
1376841600000,2.735
1376928000000,2.705
1377014400000,2.721
1377100800000,2.716
1377187200000,2.73
1377446400000,2.774
1377532800000,2.781
1377619200000,2.82
1377705600000,2.797
1377792000000,2.774
1378051200000,2.767
1378137600000,2.761
1378224000000,2.789
1378310400000,2.754
1378396800000,2.73
1378656000000,2.758
1378742400000,2.735
1378828800000,2.72
1378915200000,2.678
1379001600000,2.624
1379260800000,2.634
1379347200000,2.616
1379433600000,2.587
1379865600000,2.631
1379952000000,2.621
1380038400000,2.619
1380124800000,2.642
1380211200000,2.632
1380470400000,2.653
1381161600000,2.628
1381248000000,2.617
1381334400000,2.594
1381420800000,2.574
1381680000000,2.548
1381766400000,2.529
1381852800000,2.546
1381939200000,2.536
1382025600000,2.597
1382284800000,2.603
1382371200000,2.591
1382457600000,2.621
1382544000000,2.622
1382630400000,2.624
1382889600000,2.637
1382976000000,2.638
1383062400000,2.635
1383148800000,2.618
1383235200000,2.603
1383494400000,2.58
1383580800000,2.583
1383667200000,2.577
1383753600000,2.586
1383840000000,2.571
1384099200000,2.529
1384185600000,2.516
1384272000000,2.506
1384358400000,2.526
1384444800000,2.526
1384704000000,2.527
1384790400000,2.505
1384876800000,2.508
1384963200000,2.458
1385049600000,2.453
1385308800000,2.429
1385395200000,2.469
1385481600000,2.455
1385568000000,2.442
1385654400000,2.443
1385913600000,2.454
1386000000000,2.418
1386086400000,2.405
1386172800000,2.432
1386259200000,2.431
1386518400000,2.436
1386604800000,2.446
1386691200000,2.464
1386777600000,2.457
1386864000000,2.418
1387123200000,2.424
1387209600000,2.452
1387296000000,2.427
1387382400000,2.407
1387468800000,2.361
1387728000000,2.385
1387814400000,2.373
1387900800000,2.387
1387987200000,2.39
1388073600000,2.402
1388332800000,2.385
1388419200000,2.362
1388592000000,2.42
1388678400000,2.434
1388937600000,2.451
1389024000000,2.455
1389110400000,2.417
1389196800000,2.416
1389283200000,2.428
1389542400000,2.462
1389628800000,2.461
1389715200000,2.439
1389801600000,2.442
1389888000000,2.451
1390147200000,2.466
1390233600000,2.456
1390320000000,2.436
1390406400000,2.43
1390492800000,2.466
1390752000000,2.475
1390838400000,2.457
1390924800000,2.457
1391011200000,2.461
1391702400000,2.48
1391961600000,2.501
1392048000000,2.512
1392134400000,2.518
1392220800000,2.519
1392307200000,2.564
1392566400000,2.596
1392652800000,2.578
1392739200000,2.58
1392825600000,2.573
1392912000000,2.591
1393171200000,2.603
1393257600000,2.621
1393344000000,2.65
1393430400000,2.612
1393516800000,2.625
1393776000000,2.66
1393862400000,2.638
1393948800000,2.629
1394035200000,2.628
1394121600000,2.651
1394380800000,2.623
1394467200000,2.643
1394553600000,2.672
1394640000000,2.696
1394726400000,2.694
1394985600000,2.731
1395072000000,2.689
1395158400000,2.68
1395244800000,2.653
1395331200000,2.651
1395590400000,2.638
1395676800000,2.611
1395763200000,2.619
1395849600000,2.594
1395936000000,2.584
1396195200000,2.577
1396281600000,2.562
