日期,总市值,现金,当前持仓,黄金ETF评分,纳指科技ETF评分,黄金ETF年化收益率,纳指科技ETF年化收益率,黄金ETFR平方,纳指科技ETFR平方,黄金ETF斜率,纳指科技ETF斜率,黄金ETF起始净值,纳指科技ETF起始净值,黄金ETF结束净值,纳指科技ETF结束净值
2024-01-02,100000.0,0,纳指科技ETF(159509),0.113283,1.095189,0.243887,1.392356,0.464489,0.786573,0.000873,0.003489,4.546,1.026,4.648,1.082
2024-01-03,97500.0,0,纳指科技ETF(159509),0.12917,1.022478,0.262634,1.309927,0.491825,0.780561,0.000933,0.003349,4.56,1.028,4.666,1.08
2024-01-04,97407.41,0,纳指科技ETF(159509),0.144194,0.68049,0.276214,1.032282,0.522038,0.659209,0.000976,0.002837,4.591,1.03,4.663,1.053
2024-01-05,96203.7,0,纳指科技ETF(159509),0.161233,0.426813,0.283366,0.795886,0.568993,0.536274,0.000998,0.002342,4.589,1.033,4.651,1.052
2024-01-08,96388.89,0,纳指科技ETF(159509),0.18446,0.192833,0.297235,0.535263,0.620587,0.360259,0.001041,0.001715,4.589,1.022,4.664,1.039
2024-01-09,100185.19,0,黄金ETF(518880),0.186447,0.065972,0.291482,0.317801,0.639653,0.207589,0.001023,0.001104,4.643,1.014,4.65,1.041
2024-01-10,99797.29,0,黄金ETF(518880),0.228058,0.055426,0.301432,0.29221,0.756583,0.189678,0.001054,0.001025,4.58,0.999,4.649,1.082
2024-01-11,99797.29,0,黄金ETF(518880),0.185693,0.040829,0.266743,0.251509,0.696149,0.162337,0.000946,0.000897,4.578,1.018,4.631,1.087
2024-01-12,100120.54,0,黄金ETF(518880),0.145113,0.05255,0.231891,0.295974,0.625782,0.17755,0.000834,0.001037,4.584,1.002,4.631,1.103
2024-01-15,100702.38,0,黄金ETF(518880),0.127441,0.046576,0.213416,0.285653,0.597147,0.16305,0.000774,0.001005,4.591,1.024,4.646,1.101
2024-01-16,100788.58,0,黄金ETF(518880),0.136786,0.083226,0.219851,0.418659,0.622175,0.198793,0.000795,0.001399,4.557,1.034,4.673,1.13
2024-01-17,99797.29,0,黄金ETF(518880),0.130939,0.074578,0.212495,0.406892,0.616197,0.183288,0.000771,0.001366,4.539,1.043,4.677,1.099
2024-01-18,99474.04,0,黄金ETF(518880),0.073544,0.071936,0.154151,0.408317,0.477093,0.176176,0.000573,0.00137,4.529,1.062,4.631,1.101
2024-01-19,100055.89,0,纳指科技ETF(159509),0.022967,0.109656,0.084958,0.495498,0.270329,0.221306,0.000326,0.00161,4.598,1.07,4.616,1.115
2024-01-22,103551.29,0,纳指科技ETF(159509),0.013344,0.22713,0.065731,0.731882,0.203011,0.310337,0.000255,0.002197,4.59,1.058,4.643,1.145
2024-01-23,102415.28,0,纳指科技ETF(159509),0.002457,0.432889,0.030675,1.163591,0.080097,0.372029,0.000121,0.003087,4.576,1.069,4.625,1.185
2024-01-24,103201.75,0,纳指科技ETF(159509),0.0,0.686006,9.2e-05,1.531298,0.00251,0.44799,0.0,0.003715,4.589,1.082,4.632,1.172
2024-01-25,103551.29,0,纳指科技ETF(159509),0.000221,1.068304,-0.028624,1.988946,-0.007719,0.537121,-0.000116,0.00438,4.604,1.082,4.626,1.181
2024-01-26,102240.51,0,纳指科技ETF(159509),-0.006685,1.507873,-0.064968,2.447682,0.102893,0.616041,-0.000269,0.004951,4.605,1.072,4.605,1.185
2024-01-29,103638.67,0,纳指科技ETF(159509),-0.021875,1.740955,-0.082181,2.63328,0.266186,0.661136,-0.000343,0.005161,4.627,1.077,4.625,1.17
2024-01-30,105473.76,0,纳指科技ETF(159509),-0.029794,2.094965,-0.085354,2.938652,0.349071,0.7129,-0.000357,0.005483,4.634,1.084,4.634,1.186
2024-01-31,102415.28,0,纳指科技ETF(159509),-0.026159,2.651169,-0.077074,3.442516,0.3394,0.770125,-0.000321,0.005965,4.647,1.092,4.647,1.207
2024-02-01,101104.51,0,纳指科技ETF(159509),-0.015688,2.739165,-0.061675,3.413455,0.254371,0.802461,-0.000255,0.005939,4.66,1.089,4.653,1.172
2024-02-02,103900.83,0,纳指科技ETF(159509),-0.00317,2.47053,-0.033105,3.103232,0.095757,0.796115,-0.000135,0.005647,4.662,1.083,4.668,1.157
2024-02-05,105823.3,0,纳指科技ETF(159509),-3e-06,2.547441,0.001965,3.117333,-0.001564,0.817186,8e-06,0.005661,4.648,1.082,4.679,1.189
2024-02-06,107483.62,0,纳指科技ETF(159509),-8e-06,2.782654,0.002922,3.29911,-0.002654,0.843456,1.2e-05,0.005834,4.666,1.08,4.643,1.211
2024-02-07,106347.61,0,纳指科技ETF(159509),-2e-06,3.110402,0.001774,3.589667,-0.001137,0.866487,7e-06,0.006095,4.663,1.053,4.633,1.23
2024-02-08,109930.4,0,纳指科技ETF(159509),-3e-05,2.944304,0.007459,3.414368,-0.003999,0.862328,3e-05,0.005939,4.651,1.052,4.642,1.217
2024-02-19,110017.78,0,纳指科技ETF(159509),7.7e-05,3.152004,0.024617,3.637891,0.003128,0.866437,9.7e-05,0.006137,4.664,1.039,4.662,1.258
2024-02-20,109843.01,0,纳指科技ETF(159509),0.000668,3.162234,0.029958,3.626862,0.022288,0.871893,0.000118,0.006128,4.65,1.041,4.644,1.259
2024-02-21,107833.16,0,纳指科技ETF(159509),0.00086,3.03218,0.029388,3.450011,0.029278,0.87889,0.000116,0.005972,4.649,1.082,4.642,1.257
2024-02-22,111765.48,0,纳指科技ETF(159509),0.001019,2.684055,0.028595,3.110407,0.03563,0.862927,0.000113,0.005654,4.631,1.087,4.642,1.234
2024-02-23,115697.81,0,纳指科技ETF(159509),0.000373,2.81355,0.020234,3.245103,0.018412,0.867014,8e-05,0.005783,4.631,1.103,4.639,1.279
2024-02-26,114212.26,0,纳指科技ETF(159509),8e-06,3.330696,0.005727,3.871302,0.001481,0.860355,2.3e-05,0.006333,4.646,1.101,4.63,1.324
