持仓开始日期,持仓结束日期,持有标的,持有期间,策略收益率,纳指同期收益率,超额贡献,超额贡献数值,是否为正贡献
2024-01-02,2024-01-08,易方达黄金ETF,2024-01-02 到 2024-01-08,-1.62%,-3.61%,1.99%,1.9944829355914906,True
2024-01-08,2024-01-12,易方达黄金ETF,2024-01-08 到 2024-01-12,-0.82%,5.76%,-6.59%,-6.585285004938379,False
2024-01-12,2024-03-26,易方达黄金ETF,2024-01-12 到 2024-03-26,3.55%,27.25%,-23.70%,-23.697660545281597,False
2024-03-26,2024-05-10,易方达黄金ETF,2024-03-26 到 2024-05-10,8.34%,-5.50%,13.84%,13.83893137554807,True
2024-07-11,2024-08-19,易方达黄金ETF,2024-07-11 到 2024-08-19,-0.36%,-11.59%,11.23%,11.230366001964597,True
2024-08-19,2024-09-02,易方达黄金ETF,2024-08-19 到 2024-09-02,-2.07%,0.51%,-2.58%,-2.5779959235539995,False
2024-09-02,2024-09-03,易方达黄金ETF,2024-09-02 到 2024-09-03,-0.73%,0.19%,-0.92%,-0.9247846487849154,False
2024-09-03,2024-09-06,易方达黄金ETF,2024-09-03 到 2024-09-06,-0.55%,-7.49%,6.94%,6.937534841416538,True
2024-09-12,2024-09-18,易方达黄金ETF,2024-09-12 到 2024-09-18,2.97%,-0.72%,3.68%,3.6845632233731385,True
2024-09-18,2024-09-26,易方达黄金ETF,2024-09-18 到 2024-09-26,4.28%,1.77%,2.51%,2.510896879426139,True
2024-09-26,2024-09-27,易方达黄金ETF,2024-09-26 到 2024-09-27,-3.12%,-4.83%,1.70%,1.7040425158177275,True
2024-09-27,2024-10-08,易方达黄金ETF,2024-09-27 到 2024-10-08,-0.09%,-1.83%,1.73%,1.7334767780230798,True
2024-11-08,2024-12-11,易方达黄金ETF,2024-11-08 到 2024-12-11,-1.01%,-2.49%,1.48%,1.4801751951370345,True
2024-12-11,2024-12-17,易方达黄金ETF,2024-12-11 到 2024-12-17,-1.57%,8.10%,-9.67%,-9.674288921478091,False
2024-12-17,2025-01-15,易方达黄金ETF,2024-12-17 到 2025-01-15,2.53%,-3.51%,6.04%,6.039483564773307,True
2025-01-15,2025-05-09,易方达黄金ETF,2025-01-15 到 2025-05-09,24.43%,-10.15%,34.58%,34.57855526281396,True
2025-05-09,2025-09-03,易方达黄金ETF,2025-05-09 到 2025-09-03,0.81%,26.99%,-26.18%,-26.17862416933301,False
2025-09-03,2025-09-19,易方达黄金ETF,2025-09-03 到 2025-09-19,3.28%,8.95%,-5.67%,-5.668850043919905,False
