期间,开始日期,结束日期,持有标的,策略收益率,纳指基准收益率,超额收益,超额收益数值,是否跑赢纳指
1,2024-01-02,2024-01-09,纳指科技ETF,0.19%,0.19%,0.00%,0.0,False
2,2024-01-09,2024-01-19,易方达黄金ETF,0.36%,5.82%,-5.47%,-5.4671005948261575,False
3,2024-01-19,2024-03-25,纳指科技ETF,20.35%,20.35%,0.00%,0.0,False
4,2024-03-25,2024-05-14,易方达黄金ETF,6.72%,-4.06%,10.78%,10.783678435288003,True
5,2024-05-14,2024-07-16,纳指科技ETF,28.44%,28.44%,0.00%,0.0,False
6,2024-07-16,2024-08-27,易方达黄金ETF,0.18%,-7.83%,8.01%,8.011635281747854,True
7,2024-08-27,2024-09-09,纳指科技ETF,-6.07%,-6.07%,0.00%,0.0,False
8,2024-09-09,2024-11-18,易方达黄金ETF,2.88%,3.95%,-1.06%,-1.060962846677116,False
9,2024-11-18,2024-12-02,纳指科技ETF,-0.98%,-0.98%,0.00%,0.0,False
10,2024-12-02,2024-12-19,易方达黄金ETF,-1.32%,6.48%,-7.80%,-7.795465040583627,False
11,2024-12-19,2025-01-15,纳指科技ETF,-0.93%,-0.93%,0.00%,0.0,False
12,2025-01-15,2025-05-13,易方达黄金ETF,27.90%,-7.14%,35.05%,35.047706182198404,True
13,2025-05-13,2025-06-18,纳指科技ETF,5.13%,5.13%,0.00%,0.0,False
14,2025-06-18,2025-06-23,易方达黄金ETF,-1.05%,-1.60%,0.56%,0.5559321707942266,True
15,2025-06-23,2025-09-03,纳指科技ETF,18.79%,18.79%,0.00%,0.0,False
16,2025-09-03,2025-09-25,易方达黄金ETF,6.35%,11.04%,-4.69%,-4.692158226958277,False
17,2025-09-25,2025-10-16,纳指科技ETF,5.39%,5.39%,0.00%,0.0,False
18,2025-10-16,2025-10-24,易方达黄金ETF,-3.21%,5.02%,-8.23%,-8.229349292071507,False
