切换日期,买入标的,未买标的,买入收益率,未买收益率,选择正确,收益差,买入开始价格,买入结束价格,未买开始价格,未买结束价格,买入原始收益率,未买原始收益率,买入开始日期,买入结束日期,未买开始日期,未买结束日期
2024-01-02,黄金,纳指,-2.77%,11.76%,否,-14.53%,0.866,0.842,1.08,1.207,-2.771362586605086,11.75925925925927,2024-01-02,2024-01-30,2024-01-02,2024-01-30
2024-01-09,黄金,纳指,-0.24%,13.68%,否,-13.92%,0.844,0.842,1.082,1.23,-0.23696682464454666,13.678373382624764,2024-01-09,2024-02-06,2024-01-09,2024-02-06
2024-01-19,黄金,纳指,-0.47%,14.15%,否,-14.62%,0.847,0.843,1.145,1.307,-0.47225501770956635,14.148471615720526,2024-01-19,2024-02-26,2024-01-19,2024-02-26
2024-03-25,黄金,纳指,39.07%,-4.64%,是,43.71%,0.878,1.221,1.378,1.314,39.06605922551254,-4.644412191581992,2024-03-25,2024-04-24,2024-03-25,2024-04-24
2024-05-14,黄金,纳指,-1.28%,21.71%,否,-22.99%,0.937,0.925,1.322,1.609,-1.2806830309498363,21.709531013615724,2024-05-14,2024-06-12,2024-05-14,2024-06-12
2024-07-16,黄金,纳指,-4.03%,-12.90%,是,8.87%,1.118,1.073,1.698,1.479,-4.0250447227191515,-12.897526501766777,2024-07-16,2024-08-13,2024-07-16,2024-08-13
2024-08-27,黄金,纳指,0.09%,-0.70%,是,0.79%,1.12,1.121,1.565,1.554,0.08928571428570287,-0.7028753993610137,2024-08-27,2024-09-26,2024-08-27,2024-09-26
2024-09-09,黄金,纳指,10.77%,7.07%,是,3.69%,1.04,1.152,1.47,1.574,10.769230769230752,7.0748299319727925,2024-09-09,2024-10-16,2024-09-09,2024-10-16
2024-11-18,黄金,纳指,-0.09%,5.17%,否,-5.26%,1.07,1.069,1.528,1.607,-0.09345794392524587,5.170157068062831,2024-11-18,2024-12-16,2024-11-18,2024-12-16
2024-12-02,黄金,纳指,-1.13%,6.74%,否,-7.87%,1.062,1.05,1.513,1.615,-1.1299435028248594,6.741573033707882,2024-12-02,2024-12-30,2024-12-02,2024-12-30
2024-12-19,黄金,纳指,5.53%,0.81%,是,4.73%,1.048,1.106,1.611,1.624,5.534351145038174,0.806952203600253,2024-12-19,2025-01-17,2024-12-19,2025-01-17
2025-01-15,黄金,纳指,8.78%,0.50%,是,8.28%,1.093,1.189,1.596,1.604,8.783165599268084,0.5012531328320913,2025-01-15,2025-02-20,2025-01-15,2025-02-20
2025-05-13,黄金,纳指,-2.79%,5.53%,否,-8.32%,1.398,1.359,1.482,1.564,-2.7896995708154404,5.533063427800267,2025-05-13,2025-06-11,2025-05-13,2025-06-11
2025-06-18,黄金,纳指,-2.17%,10.08%,否,-12.25%,1.335,1.306,1.558,1.715,-2.172284644194755,10.077021822849819,2025-06-18,2025-07-16,2025-06-18,2025-07-16
2025-06-23,黄金,纳指,-0.61%,15.13%,否,-15.74%,1.321,1.313,1.533,1.765,-0.6056018168054456,15.133724722765818,2025-06-23,2025-07-21,2025-06-23,2025-07-21
2025-09-03,黄金,纳指,14.22%,15.32%,否,-1.10%,1.371,1.566,1.821,2.1,14.22319474835887,15.321252059308076,2025-09-03,2025-10-09,2025-09-03,2025-10-09
2025-09-25,黄金,纳指,9.67%,10.68%,否,-1.01%,1.458,1.599,2.022,2.238,9.670781893004122,10.682492581602387,2025-09-25,2025-10-24,2025-09-25,2025-10-24
2025-10-16,黄金,纳指,-3.21%,5.02%,否,-8.23%,1.652,1.599,2.131,2.238,-3.2082324455205757,5.021116846550933,2025-10-16,2025-10-24,2025-10-16,2025-10-24
