date,type,code,name,shares,price,amount
2024-01-02,buy,159509,纳指科技ETF,92592.59259259258,1.08,100000.0
2024-01-09,sell,159509,纳指科技ETF,92592.59259259258,1.082,100185.18518518518
2024-01-09,buy,518880,黄金ETF,21639.67107699963,4.6297,100185.18518518518
2024-01-16,sell,518880,黄金ETF,21639.67107699963,4.6685,101024.80442297278
2024-01-16,buy,159509,纳指科技ETF,91924.29883800981,1.099,101024.80442297278
2024-03-25,sell,159509,纳指科技ETF,91924.29883800981,1.378,126671.6837987775
2024-03-25,buy,518880,黄金ETF,25643.598558369435,4.9397,126671.6837987775
2024-05-14,sell,518880,黄金ETF,25643.598558369435,5.3172,136352.14225456194
2024-05-14,buy,159509,纳指科技ETF,103140.80352084867,1.322,136352.14225456194
2024-07-15,sell,159509,纳指科技ETF,103140.80352084867,1.716,176989.6188417763
2024-07-15,buy,518880,黄金ETF,32551.012238018193,5.4373,176989.6188417763
2024-08-27,sell,518880,黄金ETF,32551.012238018193,5.5328,180098.24051050705
2024-08-27,buy,159509,纳指科技ETF,115078.74793003646,1.565,180098.24051050705
2024-09-09,sell,159509,纳指科技ETF,115078.74793003646,1.47,169165.7594571536
2024-09-09,buy,518880,黄金ETF,30780.916237336438,5.4958,169165.7594571536
2024-11-18,sell,518880,黄金ETF,30780.916237336438,5.7638,177415.04500875974
2024-11-18,buy,159509,纳指科技ETF,116109.32264971187,1.528,177415.04500875974
2024-12-02,sell,159509,纳指科技ETF,116109.32264971187,1.513,175673.40516901406
2024-12-02,buy,518880,黄金ETF,29774.648763413174,5.9001,175673.40516901406
2024-12-19,sell,518880,黄金ETF,29774.648763413174,5.9114,176009.85870004064
2024-12-19,buy,159509,纳指科技ETF,109255.03333335856,1.611,176009.85870004064
2025-01-14,sell,159509,纳指科技ETF,109255.03333335856,1.611,176009.85870004064
2025-01-14,buy,518880,黄金ETF,28946.60944001984,6.0805,176009.85870004064
2025-05-13,sell,518880,黄金ETF,28946.60944001984,7.3273,212100.4913498574
2025-05-13,buy,159509,纳指科技ETF,143117.74045199555,1.482,212100.4913498574
2025-06-18,sell,159509,纳指科技ETF,143117.74045199555,1.558,222977.43962420907
2025-06-18,buy,518880,黄金ETF,29744.99948297281,7.4963,222977.43962420907
2025-06-23,sell,518880,黄金ETF,29744.99948297281,7.4586,221856.053143701
2025-06-23,buy,159509,纳指科技ETF,144720.1912222446,1.533,221856.053143701
2025-09-03,sell,159509,纳指科技ETF,144720.1912222446,1.821,263535.46821570746
2025-09-03,buy,518880,黄金ETF,34021.69713994235,7.7461,263535.46821570746
2025-09-25,sell,518880,黄金ETF,34021.69713994235,8.1521,277348.27725452406
2025-09-25,buy,159509,纳指科技ETF,137165.320106095,2.022,277348.27725452406
