date,type,code,name,shares,price,amount
2024-01-02,buy,159509,纳指科技ETF,92592.59259259258,1.08,100000.0
2024-01-12,sell,159509,纳指科技ETF,92592.59259259258,1.101,101944.44444444444
2024-01-12,buy,518880,易方达黄金ETF,21995.910079281173,4.6347,101944.44444444444
2024-01-18,sell,518880,易方达黄金ETF,21995.910079281173,4.6038,101264.77082299466
2024-01-18,buy,159509,纳指科技ETF,90820.42226277548,1.115,101264.77082299466
2024-03-26,sell,159509,纳指科技ETF,90820.42226277548,1.401,127239.41159014845
2024-03-26,buy,518880,易方达黄金ETF,25689.880997021635,4.9529,127239.41159014845
2024-05-16,sell,518880,易方达黄金ETF,25689.880997021635,5.4103,138989.96315818618
2024-05-16,buy,159509,纳指科技ETF,98925.24068198304,1.405,138989.96315818618
2024-07-16,sell,159509,纳指科技ETF,98925.24068198304,1.698,167975.0586780072
2024-07-16,buy,518880,易方达黄金ETF,30506.530579711452,5.5062,167975.0586780072
2024-08-08,sell,518880,易方达黄金ETF,30506.530579711452,5.3532,163307.55949931135
2024-08-08,buy,159509,纳指科技ETF,119726.94977955376,1.364,163307.55949931135
2024-08-09,sell,159509,纳指科技ETF,119726.94977955376,1.414,169293.906988289
2024-08-09,buy,518880,易方达黄金ETF,31299.716570826986,5.4088,169293.906988289
2024-08-16,sell,518880,易方达黄金ETF,31299.716570826986,5.4585,170849.5029018591
2024-08-16,buy,159509,纳指科技ETF,106647.62977644138,1.602,170849.5029018591
2024-08-20,sell,159509,纳指科技ETF,106647.62977644138,1.596,170209.61712320044
2024-08-20,buy,518880,易方达黄金ETF,30825.582179980884,5.5217,170209.61712320044
2024-08-28,sell,518880,易方达黄金ETF,30825.582179980884,5.5264,170354.49735944634
2024-08-28,buy,159509,纳指科技ETF,108024.4117688309,1.577,170354.49735944634
2024-09-10,sell,159509,纳指科技ETF,108024.4117688309,1.456,157283.5435354178
2024-09-10,buy,518880,易方达黄金ETF,28495.976725322547,5.5195,157283.5435354178
2024-11-15,sell,518880,易方达黄金ETF,28495.976725322547,5.6981,162372.92497856042
2024-11-15,buy,159509,纳指科技ETF,105849.3643928034,1.534,162372.92497856042
2024-11-19,sell,159509,纳指科技ETF,105849.3643928034,1.54,163008.02116491724
2024-11-19,buy,518880,易方达黄金ETF,27887.97816374694,5.8451,163008.02116491724
2024-11-20,sell,518880,易方达黄金ETF,27887.97816374694,5.852,163200.4482142471
2024-11-20,buy,159509,纳指科技ETF,105087.21713731301,1.553,163200.4482142471
2024-11-22,sell,159509,纳指科技ETF,105087.21713731301,1.531,160888.5294372262
2024-11-22,buy,518880,易方达黄金ETF,26793.766455813984,6.0047,160888.5294372262
2024-11-27,sell,518880,易方达黄金ETF,26793.766455813984,5.9066,158260.06094791088
2024-11-27,buy,159509,纳指科技ETF,103777.08914617107,1.525,158260.06094791088
2024-11-28,sell,159509,纳指科技ETF,103777.08914617107,1.512,156910.95878901065
2024-11-28,buy,518880,易方达黄金ETF,26653.806487007078,5.887,156910.95878901065
2024-12-03,sell,518880,易方达黄金ETF,26653.806487007078,5.9341,158166.3530745487
2024-12-03,buy,159509,纳指科技ETF,103444.31201736345,1.529,158166.3530745487
2024-12-04,sell,159509,纳指科技ETF,103444.31201736345,1.532,158476.68601060082
2024-12-04,buy,518880,易方达黄金ETF,26743.509063856498,5.9258,158476.68601060082
2024-12-06,sell,518880,易方达黄金ETF,26743.509063856498,5.9086,158016.6976547025
2024-12-06,buy,159509,纳指科技ETF,102674.91725451755,1.539,158016.6976547025
2024-12-09,sell,159509,纳指科技ETF,102674.91725451755,1.542,158324.72240646608
2024-12-09,buy,518880,易方达黄金ETF,26659.828313682472,5.9387,158324.72240646608
2024-12-19,sell,518880,易方达黄金ETF,26659.828313682472,5.9114,157596.9090935026
2024-12-19,buy,159509,纳指科技ETF,97825.51774891533,1.611,157596.9090935026
2025-01-16,sell,159509,纳指科技ETF,97825.51774891533,1.632,159651.2449662298
2025-01-16,buy,518880,易方达黄金ETF,26067.637352637732,6.1245,159651.2449662298
2025-05-13,sell,518880,易方达黄金ETF,26067.637352637732,7.3273,191005.39917398247
2025-05-13,buy,159509,纳指科技ETF,128883.53520511638,1.482,191005.39917398247
2025-06-18,sell,159509,纳指科技ETF,128883.53520511638,1.558,200800.54784957133
2025-06-18,buy,518880,易方达黄金ETF,26786.62111302527,7.4963,200800.54784957133
2025-06-23,sell,518880,易方达黄金ETF,26786.62111302527,7.4586,199790.6922336103
2025-06-23,buy,159509,纳指科技ETF,130326.60941527091,1.533,199790.6922336103
2025-09-04,sell,159509,纳指科技ETF,130326.60941527091,1.862,242668.14673123445
2025-09-04,buy,518880,易方达黄金ETF,31320.50577978994,7.7479,242668.14673123445
