日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-01-02,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,92800股,1.077,99945.6,92800股,-,0,19.99,全部成交,2024-01-02 09:30:00
2024-01-08,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-92800股,1.044,-96883.2,-92800股,-,-3062.4,19.38,全部成交,2024-01-08 09:30:00
2024-01-08,09:30:00,基金,标普500(513500.XSHG),买,市价单,61000股,1.586,96746,61000股,-,0,19.35,全部成交,2024-01-08 09:30:00
2024-01-09,09:30:00,基金,标普500(513500.XSHG),卖,市价单,-61000股,1.605,-97905,-61000股,-,1159,19.58,全部成交,2024-01-09 09:30:00
2024-01-09,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,21000股,4.651,97671,21000股,-,0,19.53,全部成交,2024-01-09 09:30:00
2024-01-19,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-21000股,4.636,-97356,-21000股,-,-315,19.47,全部成交,2024-01-19 09:30:00
2024-01-19,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,85500股,1.142,97641,85500股,-,0,19.53,全部成交,2024-01-19 09:30:00
2024-03-25,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-85500股,1.348,-115254,-85500股,-,17613,23.05,全部成交,2024-03-25 09:30:00
2024-03-25,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,23200股,4.964,115164.8,23200股,-,0,23.03,全部成交,2024-03-25 09:30:00
2024-05-14,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-23200股,5.33,-123656,-23200股,-,8491.2,24.73,全部成交,2024-05-14 09:30:00
2024-05-14,09:30:00,基金,标普500(513500.XSHG),买,市价单,68600股,1.801,123548.6,68600股,-,0,24.71,全部成交,2024-05-14 09:30:00
2024-05-15,09:30:00,基金,标普500(513500.XSHG),卖,市价单,-68600股,1.817,-124646.2,-68600股,-,1097.6,24.93,全部成交,2024-05-15 09:30:00
2024-05-15,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,93500股,1.333,124635.5,93500股,-,0,24.93,全部成交,2024-05-15 09:30:00
2024-05-16,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-93500股,1.401,-130993.5,-93500股,-,6358,26.2,全部成交,2024-05-16 09:30:00
2024-05-16,09:30:00,基金,标普500(513500.XSHG),买,市价单,70800股,1.849,130909.2,70800股,-,0,26.18,全部成交,2024-05-16 09:30:00
2024-05-23,09:30:00,基金,标普500(513500.XSHG),卖,市价单,-70800股,1.843,-130484.4,-70800股,-,-424.8,26.1,全部成交,2024-05-23 09:30:00
2024-05-23,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,88200股,1.48,130536,88200股,-,0,26.11,全部成交,2024-05-23 09:30:00
2024-07-08,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-88200股,1.661,-146500.2,-88200股,-,15964.2,29.3,全部成交,2024-07-08 09:30:00
2024-07-08,09:30:00,基金,标普500(513500.XSHG),买,市价单,73000股,2.004,146292,73000股,-,0,29.26,全部成交,2024-07-08 09:30:00
2024-07-24,09:30:00,基金,标普500(513500.XSHG),卖,市价单,-73000股,1.975,-144175,-73000股,-,-2117,28.84,全部成交,2024-07-24 09:30:00
2024-07-24,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,26500股,5.429,143868.5,26500股,-,0,28.77,全部成交,2024-07-24 09:30:00
2024-08-27,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-26500股,5.528,-146492,-26500股,-,2623.5,29.3,全部成交,2024-08-27 09:30:00
2024-08-27,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,94600股,1.551,146724.6,94600股,-,0,29.34,全部成交,2024-08-27 09:30:00
2024-09-04,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-94600股,1.496,-141521.6,-94600股,-,-5203,28.3,全部成交,2024-09-04 09:30:00
2024-09-04,09:30:00,基金,标普500(513500.XSHG),买,市价单,73500股,1.925,141487.5,73500股,-,0,28.3,全部成交,2024-09-04 09:30:00
2024-09-11,09:30:00,基金,标普500(513500.XSHG),卖,市价单,-73500股,1.908,-140238,-73500股,-,-1249.5,28.05,全部成交,2024-09-11 09:30:00
2024-09-11,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,25300股,5.536,140060.8,25300股,-,0,28.01,全部成交,2024-09-11 09:30:00
2024-11-12,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-25300股,5.83,-147499,-25300股,-,7438.2,29.5,全部成交,2024-11-12 09:30:00
2024-11-12,09:30:00,基金,标普500(513500.XSHG),买,市价单,70500股,2.092,147486,70500股,-,0,29.5,全部成交,2024-11-12 09:30:00
2024-12-20,09:30:00,基金,标普500(513500.XSHG),卖,市价单,-70500股,2.155,-151927.5,-70500股,-,4441.5,30.39,全部成交,2024-12-20 09:30:00
2024-12-20,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,95000股,1.6,152000,95000股,-,0,30.4,全部成交,2024-12-20 09:30:00
2025-01-15,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-95000股,1.595,-151525,-95000股,-,-475,30.3,全部成交,2025-01-15 09:30:00
2025-01-15,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,24900股,6.075,151267.5,24900股,-,0,30.25,全部成交,2025-01-15 09:30:00
2025-05-13,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-24900股,7.291,-181545.9,-24900股,-,30278.4,36.31,全部成交,2025-05-13 09:30:00
2025-05-13,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,122000股,1.489,181658,122000股,-,0,36.33,全部成交,2025-05-13 09:30:00
2025-06-18,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-122000股,1.556,-189832,-122000股,-,8174,37.97,全部成交,2025-06-18 09:30:00
2025-06-18,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,25300股,7.499,189724.7,25300股,-,0,37.94,全部成交,2025-06-18 09:30:00
2025-06-23,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-25300股,7.452,-188535.6,-25300股,-,-1189.1,37.71,全部成交,2025-06-23 09:30:00
2025-06-23,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,123300股,1.529,188525.7,123300股,-,0,37.71,全部成交,2025-06-23 09:30:00
2025-06-25,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-123300股,1.573,-193950.9,-123300股,-,5425.2,38.79,全部成交,2025-06-25 09:30:00
2025-06-25,09:30:00,基金,标普500(513500.XSHG),买,市价单,94000股,2.062,193828,94000股,-,0,38.77,全部成交,2025-06-25 09:30:00
2025-07-03,09:30:00,基金,标普500(513500.XSHG),卖,市价单,-94000股,2.114,-198716,-94000股,-,4888,39.74,全部成交,2025-07-03 09:30:00
2025-07-03,09:30:00,基金,纳指科技ETF(159509.XSHE),买,市价单,119100股,1.668,198658.8,119100股,-,0,39.73,全部成交,2025-07-03 09:30:00
2025-09-03,09:30:00,基金,纳指科技ETF(159509.XSHE),卖,市价单,-119100股,1.805,-214975.5,-119100股,-,16316.7,43,全部成交,2025-09-03 09:30:00
2025-09-03,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,27700股,7.76,214952,27700股,-,0,42.99,全部成交,2025-09-03 09:30:00
