date,net_value,code
2025-09-22,2.019,159509
2025-09-19,1.984,159509
2025-09-18,1.945,159509
2025-09-17,1.925,159509
2025-09-16,1.94,159509
2025-09-15,1.906,159509
2025-09-12,1.89,159509
2025-09-11,1.897,159509
2025-09-10,1.901,159509
2025-09-09,1.873,159509
2025-09-08,1.861,159509
2025-09-05,1.879,159509
2025-09-04,1.862,159509
2025-09-03,1.821,159509
2025-09-02,1.815,159509
2025-09-01,1.804,159509
2025-08-29,1.853,159509
2025-08-28,1.865,159509
2025-08-27,1.888,159509
2025-08-26,1.86,159509
2025-08-25,1.866,159509
2025-08-22,1.838,159509
2025-08-21,1.856,159509
2025-08-20,1.84,159509
2025-08-19,1.865,159509
2025-08-18,1.884,159509
2025-08-15,1.921,159509
2025-08-14,1.906,159509
2025-08-13,1.902,159509
2025-08-12,1.869,159509
2025-08-11,1.858,159509
2025-08-08,1.822,159509
2025-08-07,1.822,159509
2025-08-06,1.799,159509
2025-08-05,1.808,159509
2025-08-04,1.756,159509
2025-08-01,1.773,159509
2025-07-31,1.807,159509
2025-07-30,1.765,159509
2025-07-29,1.772,159509
2025-07-28,1.772,159509
2025-07-25,1.758,159509
2025-07-24,1.772,159509
2025-07-23,1.772,159509
2025-07-22,1.766,159509
2025-07-21,1.765,159509
2025-07-18,1.746,159509
2025-07-17,1.746,159509
2025-07-16,1.715,159509
2025-07-15,1.725,159509
2025-07-14,1.684,159509
2025-07-11,1.69,159509
2025-07-10,1.683,159509
2025-07-09,1.665,159509
2025-07-08,1.675,159509
2025-07-07,1.662,159509
2025-07-04,1.664,159509
2025-07-03,1.664,159509
2025-07-02,1.647,159509
2025-07-01,1.634,159509
2025-06-30,1.657,159509
2025-06-27,1.631,159509
2025-06-26,1.594,159509
2025-06-25,1.572,159509
2025-06-24,1.572,159509
2025-06-23,1.533,159509
2025-06-20,1.542,159509
2025-06-19,1.543,159509
2025-06-18,1.558,159509
2025-06-17,1.561,159509
2025-06-16,1.557,159509
2025-06-13,1.542,159509
2025-06-12,1.558,159509
2025-06-11,1.564,159509
2025-06-10,1.559,159509
2025-06-09,1.56,159509
2025-06-06,1.558,159509
2025-06-05,1.555,159509
2025-06-04,1.557,159509
2025-06-03,1.543,159509
2025-05-30,1.534,159509
2025-05-29,1.571,159509
2025-05-28,1.539,159509
2025-05-27,1.522,159509
2025-05-26,1.504,159509
2025-05-23,1.493,159509
2025-05-22,1.504,159509
2025-05-21,1.503,159509
2025-05-20,1.522,159509
2025-05-19,1.503,159509
2025-05-16,1.525,159509
2025-05-15,1.53,159509
2025-05-14,1.541,159509
2025-05-13,1.482,159509
2025-05-12,1.465,159509
2025-05-09,1.434,159509
2025-05-08,1.441,159509
2025-05-07,1.42,159509
2025-05-06,1.415,159509
2025-04-30,1.393,159509
2025-04-29,1.397,159509
2025-04-28,1.399,159509
2025-04-25,1.394,159509
2025-04-24,1.345,159509
2025-04-23,1.371,159509
2025-04-22,1.32,159509
2025-04-21,1.319,159509
2025-04-18,1.326,159509
2025-04-17,1.341,159509
2025-04-16,1.331,159509
2025-04-15,1.371,159509
2025-04-14,1.396,159509
2025-04-11,1.36,159509
2025-04-10,1.374,159509
2025-04-09,1.249,159509
2025-04-08,1.256,159509
2025-04-07,1.23,159509
2025-04-03,1.367,159509
2025-04-02,1.406,159509
2025-04-01,1.386,159509
2025-03-31,1.355,159509
2025-03-28,1.415,159509
2025-03-27,1.429,159509
2025-03-26,1.47,159509
2025-03-25,1.478,159509
2025-03-24,1.46,159509
2025-03-21,1.427,159509
2025-03-20,1.437,159509
2025-03-19,1.397,159509
2025-03-18,1.41,159509
2025-03-17,1.404,159509
2025-03-14,1.399,159509
2025-03-13,1.383,159509
2025-03-12,1.382,159509
2025-03-11,1.376,159509
2025-03-10,1.443,159509
2025-03-07,1.449,159509
2025-03-06,1.471,159509
2025-03-05,1.474,159509
2025-03-04,1.449,159509
2025-03-03,1.5,159509
2025-02-28,1.475,159509
2025-02-27,1.554,159509
2025-02-26,1.551,159509
2025-02-25,1.542,159509
2025-02-24,1.567,159509
2025-02-21,1.592,159509
2025-02-20,1.604,159509
2025-02-19,1.628,159509
2025-02-18,1.644,159509
2025-02-17,1.616,159509
2025-02-14,1.604,159509
2025-02-13,1.598,159509
2025-02-12,1.598,159509
2025-02-11,1.592,159509
2025-02-10,1.584,159509
2025-02-07,1.596,159509
2025-02-06,1.601,159509
2025-02-05,1.59,159509
2025-01-27,1.605,159509
2025-01-24,1.637,159509
2025-01-23,1.632,159509
2025-01-22,1.644,159509
2025-01-21,1.639,159509
2025-01-20,1.641,159509
2025-01-17,1.624,159509
2025-01-16,1.632,159509
2025-01-15,1.596,159509
2025-01-14,1.611,159509
2025-01-13,1.584,159509
2025-01-10,1.626,159509
2025-01-09,1.636,159509
2025-01-08,1.649,159509
2025-01-07,1.662,159509
2025-01-06,1.66,159509
2025-01-03,1.62,159509
2025-01-02,1.632,159509
2024-12-31,1.61,159509
2024-12-30,1.615,159509
2024-12-27,1.638,159509
2024-12-26,1.656,159509
2024-12-25,1.644,159509
2024-12-24,1.637,159509
2024-12-23,1.636,159509
2024-12-20,1.577,159509
2024-12-19,1.611,159509
2024-12-18,1.663,159509
2024-12-17,1.654,159509
2024-12-16,1.607,159509
2024-12-13,1.578,159509
2024-12-12,1.558,159509
2024-12-11,1.53,159509
2024-12-10,1.531,159509
2024-12-09,1.542,159509
2024-12-06,1.539,159509
2024-12-05,1.554,159509
2024-12-04,1.532,159509
2024-12-03,1.529,159509
2024-12-02,1.513,159509
2024-11-29,1.516,159509
2024-11-28,1.512,159509
2024-11-27,1.525,159509
2024-11-26,1.531,159509
2024-11-25,1.532,159509
2024-11-22,1.531,159509
2024-11-21,1.533,159509
2024-11-20,1.553,159509
2024-11-19,1.54,159509
2024-11-18,1.528,159509
2024-11-15,1.534,159509
2024-11-14,1.547,159509
2024-11-13,1.543,159509
2024-11-12,1.536,159509
2024-11-11,1.56,159509
2024-11-08,1.569,159509
2024-11-07,1.563,159509
2024-11-06,1.566,159509
2024-11-05,1.512,159509
2024-11-04,1.524,159509
2024-11-01,1.52,159509
2024-10-31,1.548,159509
2024-10-30,1.583,159509
2024-10-29,1.532,159509
2024-10-28,1.54,159509
2024-10-25,1.522,159509
2024-10-24,1.534,159509
2024-10-23,1.551,159509
2024-10-22,1.56,159509
2024-10-21,1.563,159509
2024-10-18,1.571,159509
2024-10-17,1.595,159509
2024-10-16,1.574,159509
2024-10-15,1.602,159509
2024-10-14,1.554,159509
2024-10-11,1.546,159509
2024-10-10,1.546,159509
2024-10-09,1.52,159509
2024-10-08,1.452,159509
2024-09-30,1.453,159509
2024-09-27,1.479,159509
2024-09-26,1.554,159509
2024-09-25,1.537,159509
2024-09-24,1.56,159509
2024-09-23,1.575,159509
2024-09-20,1.558,159509
2024-09-19,1.556,159509
2024-09-18,1.527,159509
2024-09-13,1.553,159509
2024-09-12,1.538,159509
2024-09-11,1.465,159509
2024-09-10,1.456,159509
2024-09-09,1.47,159509
2024-09-06,1.457,159509
2024-09-05,1.464,159509
2024-09-04,1.445,159509
2024-09-03,1.575,159509
2024-09-02,1.572,159509
2024-08-30,1.546,159509
2024-08-29,1.522,159509
2024-08-28,1.577,159509
2024-08-27,1.565,159509
2024-08-26,1.579,159509
2024-08-23,1.58,159509
2024-08-22,1.594,159509
2024-08-21,1.597,159509
2024-08-20,1.596,159509
2024-08-19,1.564,159509
2024-08-16,1.602,159509
2024-08-15,1.548,159509
2024-08-14,1.532,159509
2024-08-13,1.479,159509
2024-08-12,1.439,159509
2024-08-09,1.414,159509
2024-08-08,1.364,159509
2024-08-07,1.401,159509
2024-08-06,1.41,159509
2024-08-05,1.333,159509
2024-08-02,1.481,159509
