date,net_value,code
2023-08-30,0.995,159509
2023-08-31,0.995,159509
2023-09-01,0.996,159509
2023-09-04,1.002,159509
2023-09-05,1.002,159509
2023-09-06,1.004,159509
2023-09-07,0.992,159509
2023-09-08,1.0,159509
2023-09-11,0.991,159509
2023-09-12,0.997,159509
2023-09-13,0.985,159509
2023-09-14,0.995,159509
2023-09-15,0.996,159509
2023-09-18,0.976,159509
2023-09-19,0.975,159509
2023-09-20,0.973,159509
2023-09-21,0.952,159509
2023-09-22,0.941,159509
2023-09-25,0.941,159509
2023-09-26,0.933,159509
2023-09-27,0.927,159509
2023-09-28,0.934,159509
2023-10-09,0.959,159509
2023-10-10,0.972,159509
2023-10-11,0.977,159509
2023-10-12,0.995,159509
2023-10-13,0.988,159509
2023-10-16,0.975,159509
2023-10-17,0.98,159509
2023-10-18,0.971,159509
2023-10-19,0.954,159509
2023-10-20,0.95,159509
2023-10-23,0.943,159509
2023-10-24,0.956,159509
2023-10-25,0.952,159509
2023-10-26,0.915,159509
2023-10-27,0.912,159509
2023-10-30,0.915,159509
2023-10-31,0.913,159509
2023-11-01,0.915,159509
2023-11-02,0.937,159509
2023-11-03,0.941,159509
2023-11-06,0.959,159509
2023-11-07,0.96,159509
2023-11-08,0.972,159509
2023-11-09,0.984,159509
2023-11-10,0.978,159509
2023-11-13,1.004,159509
2023-11-14,1.004,159509
2023-11-15,1.028,159509
2023-11-16,1.026,159509
2023-11-17,1.041,159509
2023-11-20,1.025,159509
2023-11-21,1.047,159509
2023-11-22,1.034,159509
2023-11-23,1.039,159509
2023-11-24,1.034,159509
2023-11-27,1.026,159509
2023-11-28,1.028,159509
2023-11-29,1.03,159509
2023-11-30,1.033,159509
2023-12-01,1.022,159509
2023-12-04,1.014,159509
2023-12-05,0.999,159509
2023-12-06,1.018,159509
2023-12-07,1.002,159509
2023-12-08,1.024,159509
2023-12-11,1.034,159509
2023-12-12,1.043,159509
2023-12-13,1.062,159509
2023-12-14,1.07,159509
2023-12-15,1.058,159509
2023-12-18,1.069,159509
2023-12-19,1.082,159509
2023-12-20,1.082,159509
2023-12-21,1.072,159509
2023-12-22,1.077,159509
2023-12-25,1.084,159509
2023-12-26,1.092,159509
2023-12-27,1.089,159509
2023-12-28,1.083,159509
2023-12-29,1.082,159509
2024-01-02,1.08,159509
2024-01-03,1.053,159509
2024-01-04,1.052,159509
2024-01-05,1.039,159509
2024-01-08,1.041,159509
2024-01-09,1.082,159509
2024-01-10,1.087,159509
2024-01-11,1.103,159509
2024-01-12,1.101,159509
2024-01-15,1.13,159509
2024-01-16,1.099,159509
2024-01-17,1.101,159509
2024-01-18,1.115,159509
2024-01-19,1.145,159509
2024-01-22,1.185,159509
2024-01-23,1.172,159509
2024-01-24,1.181,159509
2024-01-25,1.185,159509
2024-01-26,1.17,159509
2024-01-29,1.186,159509
2024-01-30,1.207,159509
2024-01-31,1.172,159509
2024-02-01,1.157,159509
2024-02-02,1.189,159509
2024-02-05,1.211,159509
2024-02-06,1.23,159509
2024-02-07,1.217,159509
2024-02-08,1.258,159509
2024-02-19,1.259,159509
2024-02-20,1.257,159509
2024-02-21,1.234,159509
2024-02-22,1.279,159509
2024-02-23,1.324,159509
2024-02-26,1.307,159509
2024-02-27,1.308,159509
2024-02-28,1.334,159509
2024-02-29,1.326,159509
2024-03-01,1.37,159509
2024-03-04,1.439,159509
2024-03-05,1.366,159509
2024-03-06,1.396,159509
2024-03-07,1.367,159509
2024-03-08,1.431,159509
2024-03-11,1.409,159509
2024-03-12,1.438,159509
2024-03-13,1.416,159509
2024-03-14,1.434,159509
2024-03-15,1.419,159509
2024-03-18,1.437,159509
2024-03-19,1.396,159509
2024-03-20,1.397,159509
2024-03-21,1.38,159509
2024-03-22,1.346,159509
2024-03-25,1.378,159509
2024-03-26,1.401,159509
2024-03-27,1.399,159509
2024-03-28,1.385,159509
2024-03-29,1.373,159509
2024-04-01,1.396,159509
2024-04-02,1.385,159509
2024-04-03,1.357,159509
2024-04-08,1.342,159509
2024-04-09,1.323,159509
2024-04-10,1.341,159509
2024-04-11,1.318,159509
2024-04-12,1.387,159509
2024-04-15,1.38,159509
2024-04-16,1.314,159509
2024-04-17,1.318,159509
2024-04-18,1.317,159509
2024-04-19,1.268,159509
2024-04-22,1.24,159509
2024-04-23,1.256,159509
2024-04-24,1.314,159509
2024-04-25,1.268,159509
2024-04-26,1.306,159509
2024-04-29,1.316,159509
2024-04-30,1.317,159509
2024-05-06,1.319,159509
2024-05-07,1.333,159509
2024-05-08,1.321,159509
2024-05-09,1.314,159509
2024-05-10,1.324,159509
2024-05-13,1.326,159509
2024-05-14,1.322,159509
2024-05-15,1.352,159509
2024-05-16,1.405,159509
2024-05-17,1.406,159509
2024-05-20,1.429,159509
2024-05-21,1.461,159509
2024-05-22,1.457,159509
2024-05-23,1.479,159509
2024-05-24,1.41,159509
2024-05-27,1.464,159509
2024-05-28,1.481,159509
2024-05-29,1.476,159509
2024-05-30,1.453,159509
2024-05-31,1.448,159509
2024-06-03,1.474,159509
2024-06-04,1.463,159509
2024-06-05,1.477,159509
2024-06-06,1.537,159509
2024-06-07,1.548,159509
2024-06-11,1.566,159509
2024-06-12,1.609,159509
2024-06-13,1.622,159509
2024-06-14,1.657,159509
2024-06-17,1.709,159509
2024-06-18,1.728,159509
2024-06-19,1.675,159509
2024-06-20,1.739,159509
2024-06-21,1.684,159509
2024-06-24,1.675,159509
2024-06-25,1.619,159509
2024-06-26,1.702,159509
2024-06-27,1.682,159509
2024-06-28,1.712,159509
2024-07-01,1.717,159509
2024-07-02,1.698,159509
2024-07-03,1.673,159509
2024-07-04,1.66,159509
2024-07-05,1.66,159509
2024-07-08,1.701,159509
2024-07-09,1.735,159509
2024-07-10,1.728,159509
2024-07-11,1.769,159509
2024-07-12,1.676,159509
2024-07-15,1.716,159509
2024-07-16,1.698,159509
2024-07-17,1.669,159509
2024-07-18,1.65,159509
2024-07-19,1.617,159509
2024-07-22,1.569,159509
2024-07-23,1.575,159509
2024-07-24,1.523,159509
2024-07-25,1.465,159509
2024-07-26,1.5,159509
2024-07-29,1.556,159509
2024-07-30,1.515,159509
2024-07-31,1.534,159509
2024-08-01,1.59,159509
2024-08-02,1.481,159509
2024-08-05,1.333,159509
2024-08-06,1.41,159509
2024-08-07,1.401,159509
2024-08-08,1.364,159509
2024-08-09,1.414,159509
2024-08-12,1.439,159509
2024-08-13,1.479,159509
2024-08-14,1.532,159509
2024-08-15,1.548,159509
2024-08-16,1.602,159509
2024-08-19,1.564,159509
2024-08-20,1.596,159509
2024-08-21,1.597,159509
2024-08-22,1.594,159509
2024-08-23,1.58,159509
2024-08-26,1.579,159509
2024-08-27,1.565,159509
2024-08-28,1.577,159509
2024-08-29,1.522,159509
2024-08-30,1.546,159509
2024-09-02,1.572,159509
2024-09-03,1.575,159509
2024-09-04,1.445,159509
2024-09-05,1.464,159509
2024-09-06,1.457,159509
2024-09-09,1.47,159509
2024-09-10,1.456,159509
2024-09-11,1.465,159509
2024-09-12,1.538,159509
2024-09-13,1.553,159509
2024-09-18,1.527,159509
2024-09-19,1.556,159509
2024-09-20,1.558,159509
2024-09-23,1.575,159509
2024-09-24,1.56,159509
2024-09-25,1.537,159509
2024-09-26,1.554,159509
2024-09-27,1.479,159509
2024-09-30,1.453,159509
2024-10-08,1.452,159509
2024-10-09,1.52,159509
2024-10-10,1.546,159509
2024-10-11,1.546,159509
2024-10-14,1.554,159509
2024-10-15,1.602,159509
2024-10-16,1.574,159509
2024-10-17,1.595,159509
2024-10-18,1.571,159509
2024-10-21,1.563,159509
2024-10-22,1.56,159509
2024-10-23,1.551,159509
2024-10-24,1.534,159509
2024-10-25,1.522,159509
2024-10-28,1.54,159509
2024-10-29,1.532,159509
2024-10-30,1.583,159509
2024-10-31,1.548,159509
2024-11-01,1.52,159509
2024-11-04,1.524,159509
2024-11-05,1.512,159509
2024-11-06,1.566,159509
2024-11-07,1.563,159509
2024-11-08,1.569,159509
2024-11-11,1.56,159509
2024-11-12,1.536,159509
2024-11-13,1.543,159509
2024-11-14,1.547,159509
2024-11-15,1.534,159509
2024-11-18,1.528,159509
2024-11-19,1.54,159509
2024-11-20,1.553,159509
2024-11-21,1.533,159509
2024-11-22,1.531,159509
2024-11-25,1.532,159509
2024-11-26,1.531,159509
2024-11-27,1.525,159509
2024-11-28,1.512,159509
2024-11-29,1.516,159509
2024-12-02,1.513,159509
2024-12-03,1.529,159509
2024-12-04,1.532,159509
2024-12-05,1.554,159509
2024-12-06,1.539,159509
2024-12-09,1.542,159509
2024-12-10,1.531,159509
2024-12-11,1.53,159509
2024-12-12,1.558,159509
2024-12-13,1.578,159509
2024-12-16,1.607,159509
2024-12-17,1.654,159509
2024-12-18,1.663,159509
2024-12-19,1.611,159509
2024-12-20,1.577,159509
2024-12-23,1.636,159509
2024-12-24,1.637,159509
2024-12-25,1.644,159509
2024-12-26,1.656,159509
2024-12-27,1.638,159509
2024-12-30,1.615,159509
2024-12-31,1.61,159509
2025-01-02,1.632,159509
2025-01-03,1.62,159509
2025-01-06,1.66,159509
2025-01-07,1.662,159509
2025-01-08,1.649,159509
2025-01-09,1.636,159509
2025-01-10,1.626,159509
2025-01-13,1.584,159509
2025-01-14,1.611,159509
2025-01-15,1.596,159509
2025-01-16,1.632,159509
2025-01-17,1.624,159509
2025-01-20,1.641,159509
2025-01-21,1.639,159509
2025-01-22,1.644,159509
2025-01-23,1.632,159509
2025-01-24,1.637,159509
2025-01-27,1.605,159509
2025-02-05,1.59,159509
2025-02-06,1.601,159509
2025-02-07,1.596,159509
2025-02-10,1.584,159509
2025-02-11,1.592,159509
2025-02-12,1.598,159509
2025-02-13,1.598,159509
2025-02-14,1.604,159509
2025-02-17,1.616,159509
2025-02-18,1.644,159509
2025-02-19,1.628,159509
2025-02-20,1.604,159509
2025-02-21,1.592,159509
2025-02-24,1.567,159509
2025-02-25,1.542,159509
2025-02-26,1.551,159509
2025-02-27,1.554,159509
2025-02-28,1.475,159509
2025-03-03,1.5,159509
2025-03-04,1.449,159509
2025-03-05,1.474,159509
2025-03-06,1.471,159509
2025-03-07,1.449,159509
2025-03-10,1.443,159509
2025-03-11,1.376,159509
2025-03-12,1.382,159509
2025-03-13,1.383,159509
2025-03-14,1.399,159509
2025-03-17,1.404,159509
2025-03-18,1.41,159509
2025-03-19,1.397,159509
2025-03-20,1.437,159509
2025-03-21,1.427,159509
2025-03-24,1.46,159509
2025-03-25,1.478,159509
2025-03-26,1.47,159509
2025-03-27,1.429,159509
2025-03-28,1.415,159509
2025-03-31,1.355,159509
2025-04-01,1.386,159509
2025-04-02,1.406,159509
2025-04-03,1.367,159509
2025-04-07,1.23,159509
2025-04-08,1.256,159509
